State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
CA,Coal,35903,59106,39681,46127,53723,63693,51515,53949,57011,60031,61812,51015,47452,66956,60670,56405,66630,75109,67892,68565,66170,78401,69415,32022,37243,45264,42519,44951,50824,66427,84160,89519,91515,84669,84616,84323,80324,82651,66157,69547,70012,67839,70010,69469,68909,67422,67017,66495,63050,52403,54972,55264,43832,38151
CA,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,3825,3876,3124,1486,1424,2135,4124,3701,3929,4940,548,1993,2809,8752,7381,7402,5585,4838,5511,7646,8972,49980,72184,78968,78024,81818,83097,81722,127087,123643,119760,124077
CA,Geothermal,359,1001,1061,1760,2132,1978,1958,3300,4532,6422,5511,5739,15079,20422,25610,33780,37513,37382,30851,40262,52699,59437,50627,63910,80195,96080,105701,110429,104372,143657,152147,155529,154136,155587,142640,120057,129678,132211,133436,135325,127600,128077,135221,133310,133248,132375,129319,130592,129143,127461,124981,124092,121269,119556
CA,Hydropower,187705,163670,241087,265551,231188,319052,273247,368007,282561,422243,399628,408830,329587,402618,484740,417309,240578,148707,385489,351170,423618,311124,525065,598435,450580,331348,433077,255937,242347,321318,247490,229144,208571,417437,237398,495318,462729,419290,505243,416573,391043,263923,316794,368253,341956,396279,476582,270107,237755,272187,326152,413488,255384,226643
CA,Natural Gas,1301826,1400174,1483423,1623370,1817241,1813213,1982305,2048734,2187260,2189883,2241295,2265324,2303562,2154045,1937140,1937322,1849711,1864187,1646333,1900357,1890887,1947370,1765171,1601037,1739833,1925459,1591045,1992956,1860391,2047845,2101602,2208285,2294135,2213111,2334777,2109956,2017680,2185029,2418688,2379558,2456438,2513856,2318656,2317063,2462247,2304463,2375929,2467545,2472612,2391374,2325411,2196252,2456371,2483457
CA,Nuclear Energy,1,55,84,2288,4369,3193,1895,6503,17003,27127,34375,38137,34266,28689,41277,66855,53107,87396,83801,95320,53665,35367,41357,61214,153366,209565,277332,317298,327209,344146,345955,330684,369043,331724,352778,317794,358119,320194,362928,348736,366845,346911,358707,370958,315634,377313,333488,375427,339506,332218,336562,383644,193939,187162
CA,Petroleum,1838493,1894593,1881127,1917713,2029231,2091540,2221470,2251968,2404081,2458688,2503309,2656212,2735518,3049728,2873991,2978252,3246501,3613073,3656318,3735609,3478632,3212104,2875343,2980152,3214768,3126955,3188123,3321293,3517062,3569298,3506974,3255895,3247460,3163427,3313964,3327135,3390423,3303260,3325202,3432869,3582109,3598664,3718834,3572992,3745373,3823079,3867746,3882835,3646856,3519713,3529603,3436091,3323471,3370660
CA,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,111,147,109,93,19756,22097,23865,23649,24689,25226,25429,25690,25072,24583,24017,23171,23072,22534,21985,22368,23081,25406,28525,33866,37194,46654,60321,74848,109342
CA,Total Consumption,3528483,3685611,3820259,4042853,4334756,4487645,4733736,4936231,5172996,5396900,5479608,5663699,5720756,5982702,5692874,5744901,5783560,6129822,6191206,6528029,6196891,5909986,5581206,5634073,6007819,6068732,5895931,6358565,6440076,7005657,6934063,6761507,6870982,6809087,6917717,6875473,6846547,6817226,7157912,7150738,7381021,7306419,7321940,7304540,7589190,7616668,7759814,7721025,7428967,7259794,7360022,7299737,7114291,7237792
CA,Wood and Waste,82098,83506,86898,93022,98436,97488,100673,101885,110274,116253,116839,119221,127646,130122,134723,127489,144760,151984,160261,168373,115610,131670,123289,144767,162747,165344,127418,155492,164612,231921,218424,214009,225736,191699,192715,172906,167589,151226,141059,150581,158300,156150,162059,155300,155750,145608,138797,137807,140810,152041,149173,149079,151669,161703
CA,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37,28,28,38,6,21685,28698,30416,29619,30758,34942,31831,31836,32037,28122,33029,35887,36163,38684,39441,43128,42618,48433,55201,53063,56997,59303,75317,92821,122335
CO,Biomass,6479,6563,6420,6571,6816,6569,6982,7223,7434,7811,8364,8914,10032,10310,9433,9050,10276,12471,15473,16485,10749,14131,14794,16171,17189,18581,20649,13486,14630,12050,11777,13316,12891,13325,12746,13929,16342,17123,15850,15625,16364,13731,12540,13784,14166,12798,14952,19708,23926,27115,28210,30881,30677,35275
CO,Coal,68206,76938,79296,88958,89600,98117,109021,107862,112995,104487,115688,105682,119005,140487,138302,159333,185147,223762,218619,238041,247615,278732,276433,254698,286888,299070,295376,296539,311372,323462,337375,330609,339652,347233,359375,344201,350712,362423,364889,364236,387879,400028,390480,394163,390186,386670,394348,388586,385416,350224,382623,368871,370085,363532
CO,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,456,639,1549,531,181,427,707,797,835,1308,2124,2043,3110,5367,5277,5216,4426,5004,6829,6074,7043,6743,3801,3402,5798,7378,8421,10384,13197,14178,15109
CO,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,405,408,412,414,406,407,409,411,412,562,578,579,582,538,562,605,603,621,702,697,721,741,759,759
CO,Hydropower,10436,8900,10724,10839,11049,9800,10398,9685,9814,10370,12965,16612,12903,13313,14774,15678,13360,11187,13918,16685,17834,14621,17249,19686,22648,24629,23645,18947,18019,18280,14769,18725,15504,19709,15928,21977,18823,20751,14908,15978,14836,15445,12299,12780,11966,14152,17767,17095,20096,18405,15398,20235,14247,11572
CO,Natural Gas,194963,210872,202310,180366,205251,204483,207693,210209,253481,268895,274987,281846,301651,311694,302725,280996,276287,253994,234600,260824,254569,210509,224991,215094,230105,218723,198439,210148,228950,249848,247756,275761,266362,294917,280366,295686,322813,318292,334257,335458,370911,469767,463532,442361,446103,483960,465259,519918,514880,533677,510877,481614,461056,486202
CO,Nuclear Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2421,6664,2316,7273,8261,6299,8162,598,-337,550,1812,6994,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO,Petroleum,161913,174840,183877,190140,195697,198720,212630,231749,251377,264005,273445,287631,311293,327757,323099,326660,344953,355216,375198,340858,327972,301838,308747,320043,325812,326991,334081,333893,336503,320654,326575,331541,341018,367088,374669,381673,396965,377397,408228,417812,444573,461101,441430,465004,498335,493925,510857,520235,499737,475109,486234,476322,474986,474350
CO,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,154,168,182,189,209,218,229,232,235,234,224,216,210,204,199,220,262,463,981,1230,2187,3808,5063,6757
CO,Total Consumption,448476,484676,489047,483445,515229,524258,553706,573951,642535,663379,693813,709599,764916,813871,797766,800767,840299,871522,879945,891694,876761,842212,863273,849960,900351,906156,893302,888216,931003,942398,950515,983758,988836,1056117,1056369,1071949,1122607,1113704,1154572,1165479,1251669,1375036,1334941,1344009,1377803,1412618,1423960,1493891,1494556,1457581,1480979,1456928,1437831,1475659
CO,Wood and Waste,6479,6563,6420,6571,6816,6569,6982,7223,7434,7811,8364,8914,10032,10310,9433,9050,10276,12471,15473,16485,10749,14120,14562,15650,16472,16950,20031,13210,14108,11254,10907,12395,11507,11118,10627,10748,10947,11798,10577,11148,11300,6837,6380,6643,7338,8725,7925,8702,9702,11824,10669,10733,9982,13372
CO,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503,1414,1489,2205,7762,8585,12765,31738,30879,33676,50526,56798,68731
CT,Biomass,12842,13169,12825,13339,13886,13541,13612,13964,14931,15262,15837,16109,17127,17225,18039,17102,19886,19608,22669,24583,41088,40241,37604,44222,37171,37629,31652,27231,30997,31371,28711,30415,34934,35325,35727,42323,49675,46243,44668,45009,45279,26648,24827,26844,37860,23791,29530,31661,29922,35504,35716,33990,32832,34223
CT,Coal,101694,107540,112064,117384,120798,128613,136198,109548,82430,59211,48577,36411,4249,2625,6522,1272,1152,1167,807,1070,364,904,763,712,1489,21316,21216,21396,23112,23762,38511,38582,39166,37303,38584,40787,41120,44982,32569,15231,36246,39991,34206,41864,43997,42023,45722,39931,45188,26265,28711,6081,9290,7679
CT,Ethenol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,37,12,42,107,40,0,0,0,0,112,464,567,381,83,279,295,283,303,335,102,292,1738,12766,3409,9959,12151,10093,12125,13118,12436,11955,12241
CT,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,7,7,8,9,11,14,17,20,19,21,21
CT,Hydropower,4564,3907,3112,2915,2817,1959,2631,4108,3727,4439,3456,4098,5584,4644,4470,5135,3976,4497,3723,4777,2659,2717,3877,3977,3941,2760,3899,3578,3411,4607,5936,4522,4382,4275,4964,3752,6472,4562,4571,4315,5369,2959,3409,5715,4634,4782,5395,3590,5481,4973,3811,5513,2970,3835
CT,Natural Gas,29449,31424,33355,35575,38627,41720,48744,50826,54053,58405,61543,62417,65032,63548,67139,64331,66382,64709,66038,68752,74180,78750,80359,76585,83491,80561,81269,94690,90950,102005,108957,115834,126174,125889,134404,144937,139151,148622,134925,155902,163717,149350,181671,157310,166057,171429,175963,183604,169802,188571,203814,236016,236260,240094
