State,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
MO,4467000,4523000,4539000,4568000,4640000,4677000,4676501,4725764,4758780,4782645,4795930,4808308,4863173,4889399,4912430,4916686,4916686,4932064,4929451,4943733,4975278,5000268,5023068,5056696,5081736,5095830,5117073,5126370,5157770,5193686,5281206,5324610,5367888,5407113,5437562,5468338,5595211,5606532,5643232,5680259,5712355,5704484,5752861,5797703,5842713,5987580,5988927,6010065,6024522,6044171
MT,706000,707000,701000,700000,694000,694000,694409,710814,718732,726798,736419,748208,769953,782317,787305,786690,786690,795328,803986,814031,820905,822320,813739,805063,800202,799636,799065,799824,807837,822436,854923,868522,876656,878706,879533,882779,902195,903531,906148,910357,917193,917621,926345,934737,944632,974989,989415,997600,1005494,1015165
NE,1471000,1456000,1457000,1467000,1474000,1484000,1483493,1504604,1519013,1529567,1539191,1543117,1556842,1563884,1567344,1569825,1569825,1578515,1581780,1584293,1588639,1584664,1574333,1566547,1571477,1574864,1578385,1580664,1590805,1602406,1621551,1635142,1647657,1656042,1660772,1666028,1711263,1713426,1719315,1727040,1737017,1739291,1746980,1758163,1768331,1796619,1826341,1841749,1855350,1868516
NV,444000,446000,449000,464000,480000,489000,488738,520018,546789,568991,596822,619972,678333,719436,765367,800493,800493,847655,881537,901977,924922,951030,980613,1023376,1075022,1137382,1201833,1218629,1285046,1330694,1456388,1525777,1596476,1675581,1743772,1809253,1998257,2018456,2095820,2169202,2241127,2241154,2332484,2412301,2495529,2643085,2700551,2717951,2754354,2790136
NH,676000,681000,697000,709000,724000,738000,737681,761851,781107,800951,815914,828555,869763,891520,909074,920610,920610,936621,947719,958134,976864,996753,1025053,1054289,1082577,1104522,1109252,1111831,1107055,1112766,1133054,1145604,1160768,1173239,1185823,1201134,1235786,1240664,1258408,1273970,1285918,1287687,1297961,1306819,1314895,1324575,1316470,1318075,1321617,1323459
NJ,6767000,6851000,6928000,7005000,7095000,7168000,7168164,7281107,7335042,7333083,7332411,7337765,7337169,7350804,7366512,7364823,7364823,7407472,7430968,7467785,7515473,7565528,7622159,7670742,7712333,7726089,7730188,7757158,7784269,7827770,7918796,7965523,8009624,8054178,8095542,8143412,8414350,8434216,8506516,8577514,8632553,8638396,8675879,8703150,8724560,8707739,8791894,8836639,8867749,8899339
NM,1012000,1007000,1000000,994000,1011000,1016000,1016000,1053737,1078697,1105529,1131309,1159944,1215720,1238034,1284722,1302894,1302894,1332748,1363823,1394361,1416717,1438361,1462729,1478520,1490337,1503901,1515069,1519933,1547115,1580750,1653329,1682417,1706151,1722939,1733535,1739844,1819046,1821656,1832783,1855353,1877598,1874614,1900620,1925985,1954599,2009671,2059179,2077919,2083540,2085287
NY,17734000,17843000,17935000,18051000,18105000,18191000,18236967,18357982,18339400,18177063,18049775,18003485,17812602,17680589,17583838,17558072,17558072,17567734,17589738,17686905,17745684,17791672,17833419,17868848,17941309,17983086,17990455,18002855,18029532,18082032,18156652,18150928,18143805,18143184,18159175,18196601,18976457,19000135,19095604,19167600,19238252,19190115,19291526,19315721,19306183,19541453,19378102,19502728,19576125,19651127
NC,4863000,4896000,4952000,5004000,5031000,5082000,5082059,5203531,5301150,5389852,5470911,5547188,5685607,5759492,5823491,5881766,5881766,5956653,6019101,6077056,6164006,6253954,6321578,6403700,6480594,6565459,6628637,6656987,6748135,6831850,7060959,7185403,7307658,7428672,7545828,7650789,8049313,8078909,8199541,8313494,8415710,8407248,8531040,8672459,8856505,9380884,9535483,9651377,9748364,9848060
ND,649000,647000,626000,621000,621000,618000,617761,626760,631119,632675,634559,638886,649769,651301,652896,652717,652717,659505,668972,676688,680497,676980,669512,661136,655331,646351,638800,637364,634199,635427,639762,641548,642858,640945,637808,633666,642200,641193,636349,633649,632620,633837,635848,634605,635867,646844,672591,684867,701345,723393
OH,10201000,10330000,10414000,10516000,10563000,10652000,10652017,10734818,10746993,10767314,10765759,10770425,10771394,10795581,10798298,10797630,10797630,10788330,10757087,10737632,10737746,10734926,10730268,10760090,10798552,10829217,10847115,10861837,10933683,11007609,11111451,11155493,11187032,11212498,11237752,11256654,11353140,11364401,11392043,11414537,11437908,11435798,11461347,11470685,11478006,11542645,11536504,11549772,11553031,11570808
OK,2440000,2454000,2489000,2503000,2535000,2559000,2559229,2618601,2658646,2695931,2734768,2774683,2870014,2917336,2975310,3025290,3025290,3096164,3206123,3290402,3285533,3271332,3252735,3210122,3167057,3150307,3145585,3147105,3166471,3204174,3246119,3265547,3289634,3314259,3339478,3358044,3450654,3454508,3466687,3488447,3504347,3511532,3522827,3543442,3579212,3687050,3751351,3785534,3815780,3850568
OR,1937000,1969000,1979000,2004000,2062000,2091000,2091385,2151022,2197297,2241932,2285013,2329661,2446673,2518298,2588012,2633105,2633105,2667982,2664922,2653066,2666588,2672652,2683528,2700991,2741297,2790575,2842321,2858547,2918745,2973934,3087142,3141421,3195087,3243254,3282055,3316154,3421399,3431530,3474183,3523529,3561155,3559596,3589168,3638871,3700758,3825657,3831074,3867937,3899801,3930065
PA,11620000,11664000,11681000,11741000,11741000,11794000,11793909,11886400,11908233,11890527,11870884,11906095,11893591,11879396,11887975,11863895,11863895,11858567,11845146,11837723,11815172,11770862,11782752,11810866,11845752,11865996,11881643,11895604,11943160,11980819,12042545,12044780,12038008,12015888,12002329,11994016,12281054,12286905,12295929,12321644,12351381,12365455,12377381,12405348,12440621,12604767,12702379,12741310,12764475,12773801
RI,893000,899000,909000,922000,932000,950000,946725,963107,974790,975738,950615,942788,950230,951816,950382,947154,947154,953013,954170,956382,961894,968955,977341,989604,996408,1000666,1003464,1004649,1003990,1000571,993412,989203,987858,986966,987704,990819,1048319,1050836,1058510,1068568,1074783,1076164,1078930,1073579,1067610,1053209,1052567,1050350,1050304,1051511
SC,2494000,2520000,2533000,2559000,2570000,2591000,2590516,2662269,2719197,2776605,2844749,2902028,2991681,3044364,3090267,3121820,3121820,3179255,3207614,3234066,3271868,3303209,3342758,3380506,3412096,3456775,3486703,3499064,3559470,3600576,3666456,3699943,3738974,3790066,3839578,3885736,4012012,4023565,4060728,4101122,4142356,4147152,4194694,4246933,4321249,4561242,4625364,4673509,4723417,4774839
SD,692000,683000,671000,669000,668000,666000,665507,671297,677234,678715,679585,681042,688480,688580,688335,690768,690768,689584,690597,693008,697249,698402,696034,696036,698165,696701,696004,696667,701445,708698,723038,728251,730699,730855,730789,733133,754844,755793,758106,760291,763913,764309,770188,774883,781919,812383,814180,823772,834047,844877
TN,3798000,3822000,3859000,3878000,3897000,3924000,3923687,4013608,4094611,4147401,4213509,4275566,4422921,4486314,4560473,4591120,4591120,4627658,4646041,4659749,4686737,4715296,4738708,4782927,4822437,4854444,4877185,4890626,4946886,5013999,5163016,5241168,5313576,5378433,5432679,5483535,5689283,5703299,5746477,5788333,5834358,5841748,5885597,5955745,6038803,6296254,6346105,6398361,6454914,6495978
TX,10378000,10492000,10599000,10819000,11045000,11197000,11196730,11509848,11759148,12019543,12268629,12568843,13193050,13500429,13888371,14229191,14229191,14746318,15331415,15751676,16007086,16272734,16561113,16621791,16667022,16806735,16986510,17044714,17339904,17650479,18338319,18679706,19006240,19355427,19712389,20044141,20851820,20951848,21357926,21762430,22134047,22118509,22517901,22928508,23507783,24782302,25145561,25640909,26060796,26448193
UT,994000,1009000,1019000,1029000,1047000,1059000,1059273,1101192,1135449,1170040,1200471,1236030,1319512,1367510,1420238,1461037,1461037,1515471,1558314,1594943,1622342,1642910,1662834,1678119,1689372,1705864,1722850,1729722,1771941,1821498,1930436,1976774,2022253,2065397,2100562,2129836,2233169,2243490,2288374,2325921,2355785,2351467,2421500,2490334,2550063,2784572,2763885,2814784,2854871,2900872
VT,404000,413000,423000,430000,437000,445000,444330,454318,463143,468430,473002,479713,491931,498109,505372,511456,511456,515594,519109,523302,526660,530035,534066,540267,549763,557707,562758,564526,567141,570115,578900,582827,586352,588665,590579,593740,608827,609986,612882,616236,618616,619107,620795,622387,623908,621760,625741,626320,625953,626630
VA,4411000,4456000,4508000,4558000,4614000,4648000,4648494,4750838,4824472,4901292,4971069,5047395,5193112,5270240,5307945,5346818,5346818,5444097,5492783,5564657,5643870,5715153,5811700,5932268,6036909,6120246,6187358,6213526,6283853,6383315,6536771,6601392,6665491,6732878,6789225,6872912,7078515,7104587,7192701,7285707,7375863,7386330,7472448,7564327,7642884,7882590,8001024,8105850,8186628,8260405
WA,2967000,3057000,3174000,3270000,3343000,3409000,3409169,3447553,3447885,3478782,3549946,3621339,3776050,3889073,4017632,4132156,4132156,4235731,4276552,4300266,4343656,4400098,4452720,4531901,4639893,4746316,4866692,4900780,5013443,5139011,5334896,5431024,5509963,5604105,5687832,5756361,5894121,5912036,5995397,6070176,6130323,6131445,6205535,6291899,6395798,6664195,6724540,6821481,6895318,6971406
WV,1786000,1775000,1769000,1763000,1746000,1744000,1744237,1770657,1797648,1806360,1815447,1842250,1908088,1923395,1942146,1949644,1949644,1954124,1949604,1945061,1927697,1906831,1882350,1857585,1830215,1806568,1793477,1792481,1798212,1805462,1818490,1820560,1818983,1815588,1811688,1806928,1808344,1807528,1801411,1804146,1808660,1810354,1810906,1814083,1818470,1819777,1852994,1855184,1856680,1854304
WI,4232000,4274000,4303000,4345000,4378000,4418000,4417731,4462155,4502412,4524244,4545782,4578986,4626514,4646108,4682811,4705767,4705767,4726343,4728870,4721438,4735563,4747767,4755618,4777919,4822388,4856574,4891769,4902265,4952675,5004636,5095504,5137004,5173828,5200235,5222124,5250446,5363675,5374747,5404733,5438527,5466929,5472299,5498807,5527644,5556506,5654774,5686986,5708785,5724554,5742713
WY,332000,323000,322000,324000,329000,332000,332416,340285,347345,354061,365501,381695,413354,432880,454378,469557,469557,491712,506400,510345,504896,499695,495633,476965,465101,458374,453588,453401,457739,463491,474982,478447,480085,480031,480045,479602,493782,494166,494067,498973,501490,501242,505534,508798,515004,544270,563626,567329,576626,582658
